視聴日時,タイトル,チャンネル,URL,視聴回数,カテゴリ
2026/05/11 21:26:39 JST,君がいるだけで,米米Club,https://www.youtube.com/watch?v=5Q8vU0GWGzM,5,音楽
2025/06/02 13:15:39 JST,スピッツ / ロビンソン,スピッツ,https://www.youtube.com/watch?v=51CH3dPaWXc,4,音楽
2026/05/11 21:26:39 JST,HELLO MY LIFE,GLAY - Topic,https://www.youtube.com/watch?v=UxJxsew_HtM,2,音楽
2025/06/02 13:15:39 JST,GLAY / いつか,GLAY,https://www.youtube.com/watch?v=9GcBij9ylOo,3,音楽
2024/08/08 15:43:09 JST,SOUL LOVE,GLAY - Topic,https://www.youtube.com/watch?v=-Y2nBLPeTr8,2,音楽
2024/08/03 19:32:09 JST,風にひとり,GLAY - Topic,https://www.youtube.com/watch?v=HV24kU5zlcY,1,音楽
2024/08/03 19:27:04 JST,シキナ,GLAY - Topic,https://www.youtube.com/watch?v=8zktDDxMbK0,1,音楽
2024/08/03 11:53:07 JST,生きがい,GLAY - Topic,https://www.youtube.com/watch?v=R2hy2B0BSkw,1,音楽
